RA    DEC      velocity   
       30.819280      -9.8906718      3771.81
       30.992695      -8.0489669      3831.77
       32.271456      -9.7003870      3714.92
       32.152924      -9.9377379      3872.43
       32.330325      -9.8676322      3727.48
       32.001408      -7.8652822      3786.76
       31.933734      -8.0094262      3795.93
       32.217499      -7.8463481      3841.02
       32.270752      -7.7938111      3671.25
       32.158344      -7.9039201      3720.29
       32.236131      -8.1729573      3714.73
       32.264065      -7.8474423      3660.71
       32.181566      -7.8303792      3896.25
       32.455470      -7.7823796      3671.88
       33.176902      -8.4624185      3790.36
       35.480616      -9.4762382      3568.06
       35.245037      -9.5286119      3670.97
       34.720453      -9.2052309      3674.18
       34.590112      -9.2911107      3676.39
       34.213310      -8.9639863      3801.94
       33.430429      -8.5091132      3757.11
       345.78466     -0.53573929      2383.37
       344.54541   -0.0072242773      3518.82
       345.78312     -0.41202609      324.011
       353.32974     -0.10908883      2401.72
       1.8545400     -0.13133583      60.4622
       4.1177170       1.1338474      3159.27
       16.849731       1.0023583      524.581
       17.903991      0.27271841      1691.00
       40.691597    -0.023605348      1028.16
       40.455940      0.42827556      1150.06
       41.930018     -0.38325675      2556.41
       50.055790      0.90388485      83.2109
       332.58595      -9.1920200      3006.03
       339.89461      -9.3714818      3950.88
       339.85451      -8.7661080      3872.60
       340.87871      -8.6457003      3915.37
       344.85280      -10.487665      3162.25
       316.52449       9.2527638      3572.39
       316.87401       9.3539720      3989.30
       319.39489       11.011812      3102.99
       323.62448       10.946527      320.094
       323.76461       10.960385      3252.07
       336.86110       12.094605      3349.05
       342.49955       13.269370      3443.36
       342.81639       14.820590      3413.42
       344.29806       12.969046      3441.63
       343.95519       14.754094      2693.05
       345.81983       13.563407      3473.48
       346.56273       14.658695      1419.78
       346.83364       13.100090      2331.10
       346.35037       14.993639      3809.76
       346.67640       14.808301      3785.82
       349.02915       13.260172      3897.62
       351.38989       14.254207      3683.30
       350.11755       15.072496      3727.05
       351.37576       14.105769      3901.65
       354.03629       15.744242      3976.28
      0.26502411       14.580162      1529.90
       3.0611415       15.257440      1697.40
       113.96775       29.902903      2692.88
       138.20148       48.904827      946.463
       136.22680       47.864713      2879.83
       139.71748       50.187878      914.702
       141.07075       51.658679      938.710
       140.82102       51.973013      771.010
       143.43886       51.919634      888.870
       157.11550       63.145914      2719.38
       166.47371       60.374733      1688.70
       165.73896       61.723767      277.465
       173.16853       62.459879      3738.27
       174.64925       62.970864      3493.54
