#Marlough  Mercury Venus Earth Mars Jupiter Saturn Uranus  Neptune
#2457953.666666667 2457953.666666667 2457953.666666667 2457953.666666667 2457953.666666667 2457953.666666667 2457953.666666667 2457953.666666667 2457953.666666667
#2017-Jul-19 04:00:00.0000 2017-Jul-19 04:00:00.0000 2017-Jul-19 04:00:00.0000 2017-Jul-19 04:00:00.0000 2017-Jul-19 04:00:00.0000 2017-Jul-19 04:00:00.0000 2017-Jul-19 04:00:00.0000 2017-Jul-19 04:00:00.0000 2017-Jul-19 04:00:00.0000
6.295309443670203E-01 -3.506941638747845E-01  -3.506941638747845E-01  4.553033618247582E-01 -8.244725522082483E-01  -4.906267456693818E+00  -8.254809957210553E-01 1.801582791757944E+01 2.853136477524567E+01
-1.132322607149988E+00 -2.541582981878426E-01  -2.541582981878426E-01 -9.046405096446342E-01  1.413989521790990E+00 -2.361314055917564E+00  -1.001824517547495E+01 8.508109516056161E+00 -9.092103769470500E+00
3.836941988355448E-02 1.108242835918119E-02 1.108242835918119E-02 -1.017484174525710E-04  4.968067687449115E-02  1.195304823544987E-01  2.070429123897550E-01 -2.017986831506971E-01  -4.702991998472268E-01
1.540167080785715E-02 1.088106043650303E-02 1.088106043650303E-02 1.512537654001720E-02 -1.154253353973352E-02  3.185098996476126E-03  5.254553592366419E-03  -1.708373858506765E-03  9.325771083043370E-04
9.957477424510806E-03 -2.142383865836964E-02  -2.142383865836964E-02  7.601409679580692E-03 -5.887719094941876E-03  -6.440753668761168E-03  -4.758360589881729E-04 3.373091788836994E-03  3.009990729742250E-03
3.381506423344166E-03 -2.749625459228341E-03  -2.749625459228341E-03  -3.438424233392646E-07  1.597596313386958E-04 -4.443994017502649E-05  -2.009921125063385E-04 3.451119942774984E-05  -8.335990172019077E-05
7.485784547703538E-03 2.502243949182061E-03 2.502243949182061E-03  5.849193403235322E-03  9.457734473850534E-03  3.145487053014681E-02 5.806895869182704E-02  1.150761999400417E-01 1.729694275105564E-01
1.296123415790634E+00 4.332501094424685E-01 4.332501094424685E-01  1.012756443243769E+00 1.637555961405351E+00  5.446242003758058E+00 1.005432852247203E+01 1.992482636816596E+01 2.994872799018893E+01
-1.118336396058797E-03 3.689899714283900E-03 3.689899714283900E-03 9.964583325411344E-06  7.323511219425882E-04 -7.778158062076745E-05  3.857981938538697E-05 -1.046984993829413E-04  -2.404931211247246E-05
